date,timestamp,index,index_name,total_tickers,valid_measurements,inverted_count,inversion_pct,mean_iv_skew,median_iv_skew,std_iv_skew,min_iv_skew,max_iv_skew,alert_level
2025-10-10,2025-10-10 18:08:18.051545,ETF_MAJOR,Major ETFs,20,20,5,25.0,0.0771,0.0137,0.1935,-0.1696,0.6343,NORMAL
2025-10-10,2025-10-10 18:08:18.051545,GLOBAL,Global All Indices,220,215,61,28.37,0.0693,0.0392,0.1756,-0.7812,0.834,NORMAL
2025-10-10,2025-10-10 18:08:18.051545,US_CONSUMER,US Consumer,20,20,5,25.0,0.1218,0.0983,0.1654,-0.0781,0.6022,NORMAL
2025-10-10,2025-10-10 10:18:19.324326,US_DOW,Dow Jones (USA),20,20,2,10.0,0.0146,0.0,0.0288,-0.0417,0.0625,NORMAL
2025-10-10,2025-10-10 18:08:18.051545,US_ENERGY,US Energy & Materials,20,17,4,23.53,0.1373,0.1055,0.2365,-0.1647,0.834,NORMAL
2025-10-10,2025-10-10 18:08:18.051545,US_FINANCE,US Financials,20,20,4,20.0,0.0452,0.0744,0.1776,-0.4193,0.2842,NORMAL
2025-10-10,2025-10-10 18:08:18.051545,US_HEALTH,US Healthcare,20,20,6,30.0,0.0888,0.0412,0.1326,-0.0247,0.5098,NORMAL
2025-10-10,2025-10-10 18:08:18.051545,US_INDUSTRIAL,US Industrials,20,20,3,15.0,0.1182,0.0899,0.193,-0.151,0.7988,NORMAL
2025-10-10,2025-10-10 18:08:18.051545,US_MEME,US Retail Favorites,20,19,10,52.63,-0.0671,-0.028,0.2474,-0.7812,0.2956,WARNING
2025-10-10,2025-10-10 10:18:19.324326,US_NASDAQ,NASDAQ 100 (USA Tech),20,20,5,25.0,0.0,0.0,0.0338,-0.0625,0.0625,NORMAL
2025-10-10,2025-10-10 18:08:18.051545,US_SMALL_MID,US Small/Mid Caps,20,19,7,36.84,0.0603,0.0247,0.1571,-0.2109,0.4977,NORMAL
2025-10-10,2025-10-10 10:18:19.324326,US_SP500,S&P 500 (USA),20,20,3,15.0,0.0104,0.0,0.0335,-0.0417,0.0833,NORMAL
2025-10-10,2025-10-10 18:08:18.051545,US_SP500_LARGE,S&P 500 Large Caps,20,20,5,25.0,0.0898,0.0511,0.1463,-0.0951,0.5052,NORMAL
2025-10-10,2025-10-10 18:08:18.051545,US_SP500_MEGA,S&P 500 Mega Caps,20,20,6,30.0,0.0604,0.0353,0.1031,-0.0641,0.3701,NORMAL
2025-10-10,2025-10-10 18:08:18.051545,US_TECH,US Technology,20,20,6,30.0,0.0337,0.0259,0.0657,-0.082,0.168,NORMAL
2025-10-11,2025-10-11 21:01:02.360492,ETF_MAJOR,Major ETFs,20,20,3,15.0,0.1607,0.124,0.1921,-0.0905,0.7108,NORMAL
2025-10-11,2025-10-11 21:01:02.360492,GLOBAL,Global All Indices,220,215,43,20.0,0.0679,0.0605,0.1143,-0.3203,0.7108,NORMAL
2025-10-11,2025-10-11 21:01:02.360492,US_CONSUMER,US Consumer,20,20,3,15.0,0.0681,0.0583,0.0827,-0.0494,0.3193,NORMAL
2025-10-11,2025-10-11 21:01:02.360492,US_ENERGY,US Energy & Materials,20,17,4,23.53,0.0666,0.027,0.1473,-0.1562,0.475,NORMAL
2025-10-11,2025-10-11 21:01:02.360492,US_FINANCE,US Financials,20,20,1,5.0,0.0819,0.078,0.0466,-0.0044,0.1957,NORMAL
2025-10-11,2025-10-11 21:01:02.360492,US_HEALTH,US Healthcare,20,20,6,30.0,0.0327,0.0331,0.0802,-0.155,0.227,NORMAL
2025-10-11,2025-10-11 21:01:02.360492,US_INDUSTRIAL,US Industrials,20,20,5,25.0,0.0895,0.0595,0.1338,-0.0542,0.5736,NORMAL
2025-10-11,2025-10-11 21:01:02.360492,US_MEME,US Retail Favorites,20,19,11,57.89,-0.0381,-0.0234,0.1454,-0.3203,0.1898,WARNING
2025-10-11,2025-10-11 21:01:02.360492,US_SMALL_MID,US Small/Mid Caps,20,19,4,21.05,0.041,0.0328,0.0645,-0.0557,0.1898,NORMAL
2025-10-11,2025-10-11 21:01:02.360492,US_SP500_LARGE,S&P 500 Large Caps,20,20,4,20.0,0.0576,0.0573,0.06,-0.0374,0.1657,NORMAL
2025-10-11,2025-10-11 21:01:02.360492,US_SP500_MEGA,S&P 500 Mega Caps,20,20,0,0.0,0.099,0.0847,0.055,0.0308,0.1957,NORMAL
2025-10-11,2025-10-11 21:01:02.360492,US_TECH,US Technology,20,20,2,10.0,0.0808,0.0713,0.0601,-0.016,0.1891,NORMAL
